Precitec Optronik - FSS Explorer v2.749 - SCAN PATH DATA;
ScanProgram: <PrecitecFSSExplorer>; <CalibScannerCorrections XCorrectionCoeffsNominaltoFB="1;0;0;0" YCorrectionCoeffsNominaltoFB="0;1;0;0">;
Gain Correction X:1.00000000, Y:1.00000000; Applied Transformation ShiftX:0.00000000, ShiftY:0.00000000, Rotation (rad):0.00000000
#Object: AreaScan; Threshold MIN:1.00; MAX:10000.00; SortBy:Thickness 1; PointsPerLine:6; NumberOfLines:5; PercentileFilter:50.00
#Attention: Encoder X/Y values are external axis corrected values
# real scanner position (X/Y, ENC X/Y) - external axis position (ENC Z) * ExtAxisToScannerCoeffsX/Y
#Encoder V;Encoder Z;Encoder Y;Encoder X;Thickness 1;Intensity;X Pos [mm];Y Pos [mm]
1;2;-15848;-16353;240.38;3.99;-44.6800;-43.3000;
1;2;-15849;-16329;240.22;4.16;-44.5800;-43.3000;
1;2;-15849;-16304;240.12;3.39;-44.4800;-43.3000;
1;2;-15847;-16271;240.08;3.44;-44.3800;-43.3000;
1;2;-15848;-16235;240.10;3.34;-44.2800;-43.3000;
1;2;-15845;-16187;240.18;3.42;-44.1800;-43.3000;
1;2;-15846;-16155;240.50;3.38;-44.6800;-43.2000;
1;2;-15846;-16120;240.32;3.32;-44.5800;-43.2000;
1;2;-15847;-16092;240.20;3.38;-44.4800;-43.2000;
1;2;-15845;-16055;240.15;3.42;-44.3800;-43.2000;
1;2;-15846;-15986;240.17;3.38;-44.2800;-43.2000;
1;2;-15846;-15931;240.26;3.32;-44.1800;-43.2000;
1;2;-15844;-15862;240.68;3.30;-44.6800;-43.1000;
1;2;-15843;-15806;240.49;3.39;-44.5800;-43.1000;
1;2;-15844;-15749;240.36;3.30;-44.4800;-43.1000;
1;2;-15843;-15686;240.30;3.31;-44.3800;-43.1000;
1;2;-15842;-15625;240.33;3.28;-44.2800;-43.1000;
1;2;-15843;-15550;240.43;3.31;-44.1800;-43.1000;
1;2;-15844;-15487;240.92;3.31;-44.6800;-43.0000;
1;2;-15842;-15407;240.72;3.28;-44.5800;-43.0000;
1;2;-15843;-15344;240.58;3.31;-44.4800;-43.0000;
1;2;-15842;-15272;240.52;3.35;-44.3800;-43.0000;
1;2;-15842;-15225;240.56;3.36;-44.2800;-43.0000;
1;2;-15840;-15135;240.67;3.30;-44.1800;-43.0000;
1;2;-15841;-15085;241.22;3.34;-44.6800;-42.9000;
1;2;-15840;-15009;241.01;3.34;-44.5800;-42.9000;
1;2;-15841;-14948;240.86;3.34;-44.4800;-42.9000;
1;2;-15842;-14872;240.80;3.28;-44.3800;-42.9000;
1;2;-15843;-14550;240.85;3.31;-44.2800;-42.9000;
1;2;-15841;-14810;240.97;3.31;-44.1800;-42.9000;
