Precitec Optronik - FSS Explorer v2.749 - SCAN PATH DATA;
ScanProgram: <V450TopologyDemo>;
#Object: AreaScan; PointsPerLine: 30; NumberOfLines: 20;
#Encoder V;Encoder Z;Encoder Y;Encoder X;Thickness 1;Intensity;X Pos [mm];Y Pos [mm]
1;2;3;4;227.276600;50000;0.000000;0.000000
1;2;3;4;226.774840;50001;0.080000;0.000000
1;2;3;4;226.308920;50002;0.160000;0.000000
1;2;3;4;225.878840;50003;0.240000;0.000000
1;2;3;4;225.484600;50004;0.320000;0.000000
1;2;3;4;225.126200;50005;0.400000;0.000000
1;2;3;4;224.803640;50006;0.480000;0.000000
1;2;3;4;224.516920;50007;0.560000;0.000000
1;2;3;4;224.266040;50008;0.640000;0.000000
1;2;3;4;224.051000;50009;0.720000;0.000000
1;2;3;4;223.871800;50010;0.800000;0.000000
1;2;3;4;223.728440;50011;0.880000;0.000000
1;2;3;4;223.620920;50012;0.960000;0.000000
1;2;3;4;223.549240;50013;1.040000;0.000000
1;2;3;4;223.513400;50014;1.120000;0.000000
1;2;3;4;223.513400;50015;1.200000;0.000000
1;2;3;4;223.549240;50016;1.280000;0.000000
1;2;3;4;223.620920;50017;1.360000;0.000000
1;2;3;4;223.728440;50018;1.440000;0.000000
1;2;3;4;223.871800;50019;1.520000;0.000000
1;2;3;4;224.051000;50020;1.600000;0.000000
1;2;3;4;224.266040;50021;1.680000;0.000000
1;2;3;4;224.516920;50022;1.760000;0.000000
1;2;3;4;224.803640;50023;1.840000;0.000000
1;2;3;4;225.126200;50024;1.920000;0.000000
1;2;3;4;225.484600;50025;2.000000;0.000000
1;2;3;4;225.878840;50026;2.080000;0.000000
1;2;3;4;226.308920;50027;2.160000;0.000000
1;2;3;4;226.774840;50028;2.240000;0.000000
1;2;3;4;227.276600;50029;2.320000;0.000000
1;2;3;4;226.576760;50039;2.320000;0.180000
1;2;3;4;226.075000;50038;2.240000;0.180000
1;2;3;4;225.609080;50037;2.160000;0.180000
1;2;3;4;225.179000;50036;2.080000;0.180000
1;2;3;4;224.784760;50035;2.000000;0.180000
1;2;3;4;224.426360;50034;1.920000;0.180000
1;2;3;4;224.103800;50033;1.840000;0.180000
1;2;3;4;223.817080;50032;1.760000;0.180000
1;2;3;4;223.566200;50031;1.680000;0.180000
1;2;3;4;223.351160;50030;1.600000;0.180000
1;2;3;4;223.171960;50029;1.520000;0.180000
1;2;3;4;223.028600;50028;1.440000;0.180000
1;2;3;4;222.921080;50027;1.360000;0.180000
1;2;3;4;222.849400;50026;1.280000;0.180000
1;2;3;4;222.813560;50025;1.200000;0.180000
1;2;3;4;222.813560;50024;1.120000;0.180000
1;2;3;4;222.849400;50023;1.040000;0.180000
1;2;3;4;222.921080;50022;0.960000;0.180000
1;2;3;4;223.028600;50021;0.880000;0.180000
1;2;3;4;223.171960;50020;0.800000;0.180000
1;2;3;4;223.351160;50019;0.720000;0.180000
1;2;3;4;223.566200;50018;0.640000;0.180000
1;2;3;4;223.817080;50017;0.560000;0.180000
1;2;3;4;224.103800;50016;0.480000;0.180000
1;2;3;4;224.426360;50015;0.400000;0.180000
1;2;3;4;224.784760;50014;0.320000;0.180000
1;2;3;4;225.179000;50013;0.240000;0.180000
1;2;3;4;225.609080;50012;0.160000;0.180000
1;2;3;4;226.075000;50011;0.080000;0.180000
1;2;3;4;226.576760;50010;0.000000;0.180000
1;2;3;4;225.954680;50020;0.000000;0.360000
1;2;3;4;225.452920;50021;0.080000;0.360000
1;2;3;4;224.987000;50022;0.160000;0.360000
1;2;3;4;224.556920;50023;0.240000;0.360000
1;2;3;4;224.162680;50024;0.320000;0.360000
1;2;3;4;223.804280;50025;0.400000;0.360000
1;2;3;4;223.481720;50026;0.480000;0.360000
1;2;3;4;223.195000;50027;0.560000;0.360000
1;2;3;4;222.944120;50028;0.640000;0.360000
1;2;3;4;222.729080;50029;0.720000;0.360000
1;2;3;4;222.549880;50030;0.800000;0.360000
1;2;3;4;222.406520;50031;0.880000;0.360000
1;2;3;4;222.299000;50032;0.960000;0.360000
1;2;3;4;222.227320;50033;1.040000;0.360000
1;2;3;4;222.191480;50034;1.120000;0.360000
1;2;3;4;222.191480;50035;1.200000;0.360000
1;2;3;4;222.227320;50036;1.280000;0.360000
1;2;3;4;222.299000;50037;1.360000;0.360000
1;2;3;4;222.406520;50038;1.440000;0.360000
1;2;3;4;222.549880;50039;1.520000;0.360000
1;2;3;4;222.729080;50040;1.600000;0.360000
1;2;3;4;222.944120;50041;1.680000;0.360000
1;2;3;4;223.195000;50042;1.760000;0.360000
1;2;3;4;223.481720;50043;1.840000;0.360000
1;2;3;4;223.804280;50044;1.920000;0.360000
1;2;3;4;224.162680;50045;2.000000;0.360000
1;2;3;4;224.556920;50046;2.080000;0.360000
1;2;3;4;224.987000;50047;2.160000;0.360000
1;2;3;4;225.452920;50048;2.240000;0.360000
