X_mm,Y_mm,Z_mm,Layer,_matrix_row,_matrix_col
0.0,0.0,0.18,lower,0,0
0.08,0.0,0.1800024,lower,0,1
0.16,0.0,0.1800048,lower,0,2
0.24,0.0,0.1800072,lower,0,3
0.32,0.0,0.1800096,lower,0,4
0.4,0.0,0.180012,lower,0,5
0.48,0.0,0.1800144,lower,0,6
0.56,0.0,0.1800168,lower,0,7
0.64,0.0,0.1800192,lower,0,8
0.72,0.0,0.1800216,lower,0,9
0.8,0.0,0.180024,lower,0,10
0.88,0.0,0.1800264,lower,0,11
0.96,0.0,0.1800288,lower,0,12
1.04,0.0,0.1800312,lower,0,13
1.12,0.0,0.1800336,lower,0,14
1.2,0.0,0.180036,lower,0,15
1.28,0.0,0.1800384,lower,0,16
1.36,0.0,0.1800408,lower,0,17
1.44,0.0,0.1800432,lower,0,18
1.52,0.0,0.1800456,lower,0,19
1.6,0.0,0.18004799999999999,lower,0,20
1.68,0.0,0.1800504,lower,0,21
1.76,0.0,0.18005279999999999,lower,0,22
1.84,0.0,0.1800552,lower,0,23
1.92,0.0,0.18005759999999998,lower,0,24
2.0,0.0,0.18006,lower,0,25
2.08,0.0,0.18006239999999998,lower,0,26
2.16,0.0,0.1800648,lower,0,27
2.24,0.0,0.18006719999999998,lower,0,28
2.32,0.0,0.1800696,lower,0,29
2.4,0.0,0.18007199999999998,lower,0,30
2.48,0.0,0.1800744,lower,0,31
2.56,0.0,0.18007679999999998,lower,0,32
2.64,0.0,0.1800792,lower,0,33
2.72,0.0,0.18008159999999998,lower,0,34
2.8000000000000003,0.0,0.180084,lower,0,35
2.88,0.0,0.18008639999999998,lower,0,36
2.96,0.0,0.1800888,lower,0,37
3.04,0.0,0.1800912,lower,0,38
3.12,0.0,0.1800936,lower,0,39
3.2,0.0,0.180096,lower,0,40
3.2800000000000002,0.0,0.1800984,lower,0,41
3.36,0.0,0.1801008,lower,0,42
3.44,0.0,0.1801032,lower,0,43
3.52,0.0,0.1801056,lower,0,44
3.6,0.0,0.180108,lower,0,45
3.68,0.0,0.1801104,lower,0,46
3.7600000000000002,0.0,0.1801128,lower,0,47
3.84,0.0,0.1801152,lower,0,48
3.92,0.0,0.1801176,lower,0,49
4.0,0.0,0.18012,lower,0,50
4.08,0.0,0.1801224,lower,0,51
4.16,0.0,0.1801248,lower,0,52
4.24,0.0,0.1801272,lower,0,53
4.32,0.0,0.1801296,lower,0,54
4.4,0.0,0.180132,lower,0,55
4.48,0.0,0.1801344,lower,0,56
4.5600000000000005,0.0,0.18013679999999999,lower,0,57
4.64,0.0,0.1801392,lower,0,58
4.72,0.0,0.18014159999999999,lower,0,59
4.8,0.0,0.180144,lower,0,60
4.88,0.0,0.18014639999999998,lower,0,61
4.96,0.0,0.1801488,lower,0,62
5.04,0.0,0.18015119999999998,lower,0,63
5.12,0.0,0.1801536,lower,0,64
5.2,0.0,0.18015599999999998,lower,0,65
5.28,0.0,0.1801584,lower,0,66
5.36,0.0,0.18016079999999998,lower,0,67
5.44,0.0,0.1801632,lower,0,68
5.5200000000000005,0.0,0.18016559999999998,lower,0,69
5.6000000000000005,0.0,0.180168,lower,0,70
5.68,0.0,0.18017039999999998,lower,0,71
5.76,0.0,0.1801728,lower,0,72
5.84,0.0,0.18017519999999998,lower,0,73
5.92,0.0,0.1801776,lower,0,74
6.0,0.0,0.18018,lower,0,75
6.08,0.0,0.1801824,lower,0,76
6.16,0.0,0.1801848,lower,0,77
6.24,0.0,0.1801872,lower,0,78
6.32,0.0,0.1801896,lower,0,79
0.0,0.09,0.1799982,lower,1,0
0.08,0.09,0.1800006,lower,1,1
0.16,0.09,0.180003,lower,1,2
0.24,0.09,0.1800054,lower,1,3
0.32,0.09,0.1800078,lower,1,4
0.4,0.09,0.1800102,lower,1,5
0.48,0.09,0.1800126,lower,1,6
0.56,0.09,0.180015,lower,1,7
0.64,0.09,0.1800174,lower,1,8
0.72,0.09,0.1800198,lower,1,9
0.8,0.09,0.1800222,lower,1,10
0.88,0.09,0.1800246,lower,1,11
0.96,0.09,0.180027,lower,1,12
1.04,0.09,0.1800294,lower,1,13
1.12,0.09,0.1800318,lower,1,14
1.2,0.09,0.1800342,lower,1,15
1.28,0.09,0.1800366,lower,1,16
1.36,0.09,0.180039,lower,1,17
1.44,0.09,0.1800414,lower,1,18
1.52,0.09,0.1800438,lower,1,19
1.6,0.09,0.1800462,lower,1,20
1.68,0.09,0.1800486,lower,1,21
1.76,0.09,0.180051,lower,1,22
1.84,0.09,0.1800534,lower,1,23
1.92,0.09,0.1800558,lower,1,24
2.0,0.09,0.1800582,lower,1,25
2.08,0.09,0.1800606,lower,1,26
2.16,0.09,0.180063,lower,1,27
2.24,0.09,0.1800654,lower,1,28
2.32,0.09,0.1800678,lower,1,29
2.4,0.09,0.18007019999999999,lower,1,30
2.48,0.09,0.1800726,lower,1,31
2.56,0.09,0.18007499999999999,lower,1,32
2.64,0.09,0.1800774,lower,1,33
2.72,0.09,0.18007979999999998,lower,1,34
2.8000000000000003,0.09,0.1800822,lower,1,35
2.88,0.09,0.18008459999999998,lower,1,36
2.96,0.09,0.180087,lower,1,37
3.04,0.09,0.1800894,lower,1,38
3.12,0.09,0.1800918,lower,1,39
3.2,0.09,0.1800942,lower,1,40
3.2800000000000002,0.09,0.1800966,lower,1,41
3.36,0.09,0.180099,lower,1,42
3.44,0.09,0.1801014,lower,1,43
3.52,0.09,0.1801038,lower,1,44
3.6,0.09,0.1801062,lower,1,45
3.68,0.09,0.1801086,lower,1,46
3.7600000000000002,0.09,0.180111,lower,1,47
3.84,0.09,0.1801134,lower,1,48
3.92,0.09,0.1801158,lower,1,49
4.0,0.09,0.1801182,lower,1,50
4.08,0.09,0.1801206,lower,1,51
4.16,0.09,0.180123,lower,1,52
4.24,0.09,0.1801254,lower,1,53
4.32,0.09,0.1801278,lower,1,54
4.4,0.09,0.1801302,lower,1,55
4.48,0.09,0.1801326,lower,1,56
4.5600000000000005,0.09,0.180135,lower,1,57
4.64,0.09,0.1801374,lower,1,58
4.72,0.09,0.1801398,lower,1,59
4.8,0.09,0.1801422,lower,1,60
4.88,0.09,0.1801446,lower,1,61
4.96,0.09,0.180147,lower,1,62
5.04,0.09,0.1801494,lower,1,63
5.12,0.09,0.1801518,lower,1,64
5.2,0.09,0.1801542,lower,1,65
5.28,0.09,0.1801566,lower,1,66
5.36,0.09,0.18015899999999999,lower,1,67
5.44,0.09,0.1801614,lower,1,68
5.5200000000000005,0.09,0.18016379999999999,lower,1,69
5.6000000000000005,0.09,0.1801662,lower,1,70
5.68,0.09,0.18016859999999998,lower,1,71
5.76,0.09,0.180171,lower,1,72
5.84,0.09,0.18017339999999998,lower,1,73
5.92,0.09,0.1801758,lower,1,74
6.0,0.09,0.1801782,lower,1,75
6.08,0.09,0.1801806,lower,1,76
6.16,0.09,0.180183,lower,1,77
6.24,0.09,0.1801854,lower,1,78
6.32,0.09,0.1801878,lower,1,79
0.0,0.18,0.1799964,lower,2,0
0.08,0.18,0.17999880000000001,lower,2,1
0.16,0.18,0.1800012,lower,2,2
0.24,0.18,0.1800036,lower,2,3
0.32,0.18,0.180006,lower,2,4
0.4,0.18,0.1800084,lower,2,5
0.48,0.18,0.1800108,lower,2,6
0.56,0.18,0.1800132,lower,2,7
0.64,0.18,0.1800156,lower,2,8
0.72,0.18,0.180018,lower,2,9
0.8,0.18,0.1800204,lower,2,10
0.88,0.18,0.1800228,lower,2,11
0.96,0.18,0.1800252,lower,2,12
1.04,0.18,0.1800276,lower,2,13
1.12,0.18,0.18003,lower,2,14
1.2,0.18,0.1800324,lower,2,15
1.28,0.18,0.1800348,lower,2,16
1.36,0.18,0.1800372,lower,2,17
1.44,0.18,0.1800396,lower,2,18
1.52,0.18,0.180042,lower,2,19
1.6,0.18,0.1800444,lower,2,20
1.68,0.18,0.1800468,lower,2,21
1.76,0.18,0.1800492,lower,2,22
1.84,0.18,0.1800516,lower,2,23
1.92,0.18,0.180054,lower,2,24
2.0,0.18,0.1800564,lower,2,25
2.08,0.18,0.1800588,lower,2,26
2.16,0.18,0.1800612,lower,2,27
2.24,0.18,0.1800636,lower,2,28
2.32,0.18,0.180066,lower,2,29
2.4,0.18,0.1800684,lower,2,30
2.48,0.18,0.1800708,lower,2,31
2.56,0.18,0.1800732,lower,2,32
2.64,0.18,0.1800756,lower,2,33
2.72,0.18,0.180078,lower,2,34
2.8000000000000003,0.18,0.1800804,lower,2,35
2.88,0.18,0.1800828,lower,2,36
2.96,0.18,0.1800852,lower,2,37
3.04,0.18,0.18008760000000001,lower,2,38
3.12,0.18,0.18009,lower,2,39
3.2,0.18,0.1800924,lower,2,40
3.2800000000000002,0.18,0.1800948,lower,2,41
3.36,0.18,0.1800972,lower,2,42
3.44,0.18,0.1800996,lower,2,43
3.52,0.18,0.180102,lower,2,44
3.6,0.18,0.1801044,lower,2,45
3.68,0.18,0.1801068,lower,2,46
3.7600000000000002,0.18,0.1801092,lower,2,47
3.84,0.18,0.1801116,lower,2,48
3.92,0.18,0.180114,lower,2,49
4.0,0.18,0.1801164,lower,2,50
4.08,0.18,0.1801188,lower,2,51
4.16,0.18,0.1801212,lower,2,52
4.24,0.18,0.1801236,lower,2,53
4.32,0.18,0.180126,lower,2,54
4.4,0.18,0.1801284,lower,2,55
4.48,0.18,0.1801308,lower,2,56
4.5600000000000005,0.18,0.1801332,lower,2,57
4.64,0.18,0.1801356,lower,2,58
4.72,0.18,0.180138,lower,2,59
4.8,0.18,0.1801404,lower,2,60
4.88,0.18,0.1801428,lower,2,61
4.96,0.18,0.1801452,lower,2,62
5.04,0.18,0.1801476,lower,2,63
5.12,0.18,0.18015,lower,2,64
5.2,0.18,0.1801524,lower,2,65
5.28,0.18,0.1801548,lower,2,66
5.36,0.18,0.1801572,lower,2,67
5.44,0.18,0.1801596,lower,2,68
5.5200000000000005,0.18,0.180162,lower,2,69
5.6000000000000005,0.18,0.1801644,lower,2,70
5.68,0.18,0.1801668,lower,2,71
5.76,0.18,0.1801692,lower,2,72
5.84,0.18,0.1801716,lower,2,73
5.92,0.18,0.180174,lower,2,74
6.0,0.18,0.18017640000000001,lower,2,75
6.08,0.18,0.1801788,lower,2,76
6.16,0.18,0.1801812,lower,2,77
6.24,0.18,0.1801836,lower,2,78
6.32,0.18,0.180186,lower,2,79
0.0,0.27,0.1799946,lower,3,0
0.08,0.27,0.17999700000000002,lower,3,1
0.16,0.27,0.1799994,lower,3,2
0.24,0.27,0.18000180000000002,lower,3,3
0.32,0.27,0.1800042,lower,3,4
0.4,0.27,0.18000660000000002,lower,3,5
0.48,0.27,0.180009,lower,3,6
0.56,0.27,0.18001140000000002,lower,3,7
0.64,0.27,0.1800138,lower,3,8
0.72,0.27,0.18001620000000002,lower,3,9
0.8,0.27,0.1800186,lower,3,10
0.88,0.27,0.18002100000000001,lower,3,11
0.96,0.27,0.1800234,lower,3,12
1.04,0.27,0.1800258,lower,3,13
1.12,0.27,0.1800282,lower,3,14
1.2,0.27,0.1800306,lower,3,15
1.28,0.27,0.180033,lower,3,16
1.36,0.27,0.1800354,lower,3,17
1.44,0.27,0.1800378,lower,3,18
1.52,0.27,0.1800402,lower,3,19
1.6,0.27,0.1800426,lower,3,20
1.68,0.27,0.180045,lower,3,21
1.76,0.27,0.1800474,lower,3,22
1.84,0.27,0.1800498,lower,3,23
1.92,0.27,0.1800522,lower,3,24
2.0,0.27,0.1800546,lower,3,25
2.08,0.27,0.180057,lower,3,26
2.16,0.27,0.1800594,lower,3,27
2.24,0.27,0.1800618,lower,3,28
2.32,0.27,0.1800642,lower,3,29
2.4,0.27,0.1800666,lower,3,30
2.48,0.27,0.180069,lower,3,31
2.56,0.27,0.1800714,lower,3,32
2.64,0.27,0.1800738,lower,3,33
2.72,0.27,0.1800762,lower,3,34
2.8000000000000003,0.27,0.1800786,lower,3,35
2.88,0.27,0.180081,lower,3,36
2.96,0.27,0.1800834,lower,3,37
3.04,0.27,0.18008580000000002,lower,3,38
3.12,0.27,0.1800882,lower,3,39
3.2,0.27,0.18009060000000002,lower,3,40
3.2800000000000002,0.27,0.180093,lower,3,41
3.36,0.27,0.18009540000000002,lower,3,42
3.44,0.27,0.1800978,lower,3,43
3.52,0.27,0.18010020000000002,lower,3,44
3.6,0.27,0.1801026,lower,3,45
3.68,0.27,0.18010500000000002,lower,3,46
3.7600000000000002,0.27,0.1801074,lower,3,47
3.84,0.27,0.18010980000000001,lower,3,48
3.92,0.27,0.1801122,lower,3,49
4.0,0.27,0.1801146,lower,3,50
4.08,0.27,0.180117,lower,3,51
4.16,0.27,0.1801194,lower,3,52
4.24,0.27,0.1801218,lower,3,53
4.32,0.27,0.1801242,lower,3,54
4.4,0.27,0.1801266,lower,3,55
4.48,0.27,0.180129,lower,3,56
4.5600000000000005,0.27,0.1801314,lower,3,57
4.64,0.27,0.1801338,lower,3,58
4.72,0.27,0.1801362,lower,3,59
4.8,0.27,0.1801386,lower,3,60
4.88,0.27,0.180141,lower,3,61
4.96,0.27,0.1801434,lower,3,62
5.04,0.27,0.1801458,lower,3,63
5.12,0.27,0.1801482,lower,3,64
5.2,0.27,0.1801506,lower,3,65
5.28,0.27,0.180153,lower,3,66
5.36,0.27,0.1801554,lower,3,67
5.44,0.27,0.1801578,lower,3,68
5.5200000000000005,0.27,0.1801602,lower,3,69
5.6000000000000005,0.27,0.1801626,lower,3,70
5.68,0.27,0.180165,lower,3,71
5.76,0.27,0.1801674,lower,3,72
5.84,0.27,0.1801698,lower,3,73
5.92,0.27,0.1801722,lower,3,74
6.0,0.27,0.18017460000000002,lower,3,75
6.08,0.27,0.180177,lower,3,76
6.16,0.27,0.18017940000000002,lower,3,77
6.24,0.27,0.1801818,lower,3,78
6.32,0.27,0.18018420000000002,lower,3,79
0.0,0.36,0.17999279999999998,lower,4,0
0.08,0.36,0.1799952,lower,4,1
0.16,0.36,0.17999759999999998,lower,4,2
0.24,0.36,0.18,lower,4,3
0.32,0.36,0.18000239999999998,lower,4,4
0.4,0.36,0.1800048,lower,4,5
0.48,0.36,0.18000719999999998,lower,4,6
0.56,0.36,0.1800096,lower,4,7
0.64,0.36,0.18001199999999998,lower,4,8
0.72,0.36,0.1800144,lower,4,9
0.8,0.36,0.18001679999999998,lower,4,10
0.88,0.36,0.1800192,lower,4,11
0.96,0.36,0.18002159999999998,lower,4,12
1.04,0.36,0.180024,lower,4,13
1.12,0.36,0.18002639999999998,lower,4,14
1.2,0.36,0.1800288,lower,4,15
1.28,0.36,0.18003119999999997,lower,4,16
1.36,0.36,0.1800336,lower,4,17
1.44,0.36,0.18003599999999997,lower,4,18
1.52,0.36,0.1800384,lower,4,19
1.6,0.36,0.18004079999999997,lower,4,20
1.68,0.36,0.1800432,lower,4,21
1.76,0.36,0.18004559999999997,lower,4,22
1.84,0.36,0.18004799999999999,lower,4,23
1.92,0.36,0.18005039999999997,lower,4,24
2.0,0.36,0.18005279999999999,lower,4,25
2.08,0.36,0.18005519999999997,lower,4,26
2.16,0.36,0.18005759999999998,lower,4,27
2.24,0.36,0.18005999999999997,lower,4,28
2.32,0.36,0.18006239999999998,lower,4,29
2.4,0.36,0.18006479999999997,lower,4,30
2.48,0.36,0.18006719999999998,lower,4,31
2.56,0.36,0.18006959999999997,lower,4,32
2.64,0.36,0.18007199999999998,lower,4,33
2.72,0.36,0.18007439999999997,lower,4,34
2.8000000000000003,0.36,0.18007679999999998,lower,4,35
2.88,0.36,0.18007919999999997,lower,4,36
2.96,0.36,0.18008159999999998,lower,4,37
3.04,0.36,0.180084,lower,4,38
3.12,0.36,0.18008639999999998,lower,4,39
3.2,0.36,0.1800888,lower,4,40
3.2800000000000002,0.36,0.18009119999999998,lower,4,41
3.36,0.36,0.1800936,lower,4,42
3.44,0.36,0.18009599999999998,lower,4,43
3.52,0.36,0.1800984,lower,4,44
3.6,0.36,0.18010079999999998,lower,4,45
3.68,0.36,0.1801032,lower,4,46
3.7600000000000002,0.36,0.18010559999999998,lower,4,47
3.84,0.36,0.180108,lower,4,48
3.92,0.36,0.18011039999999998,lower,4,49
4.0,0.36,0.1801128,lower,4,50
4.08,0.36,0.18011519999999998,lower,4,51
4.16,0.36,0.1801176,lower,4,52
4.24,0.36,0.18011999999999997,lower,4,53
4.32,0.36,0.1801224,lower,4,54
4.4,0.36,0.18012479999999997,lower,4,55
4.48,0.36,0.1801272,lower,4,56
4.5600000000000005,0.36,0.18012959999999997,lower,4,57
4.64,0.36,0.180132,lower,4,58
4.72,0.36,0.18013439999999997,lower,4,59
4.8,0.36,0.18013679999999999,lower,4,60
4.88,0.36,0.18013919999999997,lower,4,61
4.96,0.36,0.18014159999999999,lower,4,62
5.04,0.36,0.18014399999999997,lower,4,63
5.12,0.36,0.18014639999999998,lower,4,64
5.2,0.36,0.18014879999999997,lower,4,65
5.28,0.36,0.18015119999999998,lower,4,66
5.36,0.36,0.18015359999999997,lower,4,67
5.44,0.36,0.18015599999999998,lower,4,68
5.5200000000000005,0.36,0.18015839999999997,lower,4,69
5.6000000000000005,0.36,0.18016079999999998,lower,4,70
5.68,0.36,0.18016319999999997,lower,4,71
5.76,0.36,0.18016559999999998,lower,4,72
5.84,0.36,0.18016799999999997,lower,4,73
5.92,0.36,0.18017039999999998,lower,4,74
6.0,0.36,0.1801728,lower,4,75
6.08,0.36,0.18017519999999998,lower,4,76
6.16,0.36,0.1801776,lower,4,77
6.24,0.36,0.18017999999999998,lower,4,78
6.32,0.36,0.1801824,lower,4,79
0.0,0.44999999999999996,0.17999099999999998,lower,5,0
0.08,0.44999999999999996,0.1799934,lower,5,1
0.16,0.44999999999999996,0.17999579999999998,lower,5,2
0.24,0.44999999999999996,0.1799982,lower,5,3
0.32,0.44999999999999996,0.18000059999999998,lower,5,4
0.4,0.44999999999999996,0.180003,lower,5,5
0.48,0.44999999999999996,0.18000539999999998,lower,5,6
0.56,0.44999999999999996,0.1800078,lower,5,7
0.64,0.44999999999999996,0.18001019999999998,lower,5,8
0.72,0.44999999999999996,0.1800126,lower,5,9
0.8,0.44999999999999996,0.18001499999999998,lower,5,10
0.88,0.44999999999999996,0.1800174,lower,5,11
0.96,0.44999999999999996,0.18001979999999998,lower,5,12
1.04,0.44999999999999996,0.1800222,lower,5,13
1.12,0.44999999999999996,0.18002459999999998,lower,5,14
1.2,0.44999999999999996,0.180027,lower,5,15
1.28,0.44999999999999996,0.18002939999999998,lower,5,16
1.36,0.44999999999999996,0.1800318,lower,5,17
1.44,0.44999999999999996,0.18003419999999998,lower,5,18
1.52,0.44999999999999996,0.1800366,lower,5,19
1.6,0.44999999999999996,0.18003899999999998,lower,5,20
1.68,0.44999999999999996,0.1800414,lower,5,21
1.76,0.44999999999999996,0.18004379999999998,lower,5,22
1.84,0.44999999999999996,0.1800462,lower,5,23
1.92,0.44999999999999996,0.18004859999999998,lower,5,24
