X_mm,Y_mm,Z_um
-20.000000,-20.000000,454.360000
-19.817352,-20.000000,454.350007
-19.634703,-20.000000,454.341215
-19.452055,-20.000000,454.333624
-19.269406,-20.000000,454.327233
-19.086758,-20.000000,454.322044
-18.904110,-20.000000,454.318056
-18.721461,-20.000000,454.315269
-18.538813,-20.000000,454.313682
-18.356164,-20.000000,454.313297
-18.173516,-20.000000,454.314113
-17.990868,-20.000000,454.316129
-17.808219,-20.000000,454.319347
-17.625571,-20.000000,454.323766
-17.442922,-20.000000,454.329385
-17.260274,-20.000000,454.336206
-17.077626,-20.000000,454.344227
-16.894977,-20.000000,454.353450
-16.712329,-20.000000,454.363873
-16.529680,-20.000000,454.375498
-16.347032,-20.000000,454.388323
-16.164384,-20.000000,454.402349
-15.981735,-20.000000,454.417577
-15.799087,-20.000000,454.434005
-15.616438,-20.000000,454.451634
-15.433790,-20.000000,454.470465
-15.251142,-20.000000,454.490496
-15.068493,-20.000000,454.511728
-14.885845,-20.000000,454.534162
-14.703196,-20.000000,454.557796
-14.520548,-20.000000,454.582631
-14.337900,-20.000000,454.608667
-14.155251,-20.000000,454.635904
-13.972603,-20.000000,454.664342
-13.789954,-20.000000,454.693981
-13.607306,-20.000000,454.724821
-13.424658,-20.000000,454.756862
-13.242009,-20.000000,454.790104
-13.059361,-20.000000,454.824547
-12.876712,-20.000000,454.860191
-12.694064,-20.000000,454.897036
-12.511416,-20.000000,454.935082
-12.328767,-20.000000,454.974329
-12.146119,-20.000000,455.014777
-11.963470,-20.000000,455.056426
-11.780822,-20.000000,455.099276
-11.598174,-20.000000,455.143326
-11.415525,-20.000000,455.188578
-11.232877,-20.000000,455.235031
-11.050228,-20.000000,455.282685
-10.867580,-20.000000,455.331539
-10.684932,-20.000000,455.381595
-10.502283,-20.000000,455.432852
-10.319635,-20.000000,455.485309
-10.136986,-20.000000,455.538968
-9.954338,-20.000000,455.593828
-9.771689,-20.000000,455.649888
-9.589041,-20.000000,455.707150
-9.406393,-20.000000,455.765612
-9.223744,-20.000000,455.825276
-9.041096,-20.000000,455.886140
-8.858447,-20.000000,455.948205
-8.675799,-20.000000,456.011472
-8.493151,-20.000000,456.075939
-8.310502,-20.000000,456.141608
-8.127854,-20.000000,456.208477
-7.945205,-20.000000,456.276547
-7.762557,-20.000000,456.345818
-7.579909,-20.000000,456.416291
-7.397260,-20.000000,456.487964
-7.214612,-20.000000,456.560838
-7.031963,-20.000000,456.634913
-6.849315,-20.000000,456.710189
-6.666667,-20.000000,456.786666
-6.484018,-20.000000,456.864344
-6.301370,-20.000000,456.943223
-6.118721,-20.000000,457.023303
-5.936073,-20.000000,457.104584
-5.753425,-20.000000,457.187066
-5.570776,-20.000000,457.270749
-5.388128,-20.000000,457.355632
-5.205479,-20.000000,457.441717
-5.022831,-20.000000,457.529002
-4.840183,-20.000000,457.617489
-4.657534,-20.000000,457.707176
-4.474886,-20.000000,457.798064
-4.292237,-20.000000,457.890153
-4.109589,-20.000000,457.983443
-3.926941,-20.000000,458.077934
-3.744292,-20.000000,458.173625
-3.561644,-20.000000,458.270518
-3.378995,-20.000000,458.368611
-3.196347,-20.000000,458.467904
-3.013699,-20.000000,458.568399
-2.831050,-20.000000,458.670094
-2.648402,-20.000000,458.772990
-2.465753,-20.000000,458.877086
-2.283105,-20.000000,458.982383
-2.100457,-20.000000,459.088880
-1.917808,-20.000000,459.196578
-1.735160,-20.000000,459.305476
-1.552511,-20.000000,459.415574
-1.369863,-20.000000,459.526873
-1.187215,-20.000000,459.639371
-1.004566,-20.000000,459.753070
-0.821918,-20.000000,459.867969
-0.639269,-20.000000,459.984068
-0.456621,-20.000000,460.101366
-0.273973,-20.000000,460.219864
-0.091324,-20.000000,460.339562
0.091324,-20.000000,460.460459
0.273973,-20.000000,460.582556
0.456621,-20.000000,460.705852
0.639269,-20.000000,460.830348
0.821918,-20.000000,460.956043
1.004566,-20.000000,461.082936
1.187215,-20.000000,461.211029
1.369863,-20.000000,461.340320
1.552511,-20.000000,461.470811
1.735160,-20.000000,461.602500
1.917808,-20.000000,461.735388
2.100457,-20.000000,461.869474
2.283105,-20.000000,462.004760
2.465753,-20.000000,462.141243
2.648402,-20.000000,462.278926
2.831050,-20.000000,462.417807
3.013699,-20.000000,462.557886
3.196347,-20.000000,462.699165
3.378995,-20.000000,462.841642
3.561644,-20.000000,462.985318
3.744292,-20.000000,463.130193
3.926941,-20.000000,463.276267
4.109589,-20.000000,463.423540
4.292237,-20.000000,463.572013
4.474886,-20.000000,463.721686
4.657534,-20.000000,463.872558
4.840183,-20.000000,464.024630
5.022831,-20.000000,464.177903
5.205479,-20.000000,464.332377
5.388128,-20.000000,464.488051
5.570776,-20.000000,464.644927
5.753425,-20.000000,464.803005
5.936073,-20.000000,464.962284
6.118721,-20.000000,465.122766
6.301370,-20.000000,465.284450
6.484018,-20.000000,465.447338
6.666667,-20.000000,465.611429
6.849315,-20.000000,465.776723
7.031963,-20.000000,465.943222
7.214612,-20.000000,466.110925
7.397260,-20.000000,466.279833
7.579909,-20.000000,466.449945
7.762557,-20.000000,466.621263
7.945205,-20.000000,466.793786
8.127854,-20.000000,466.967515
8.310502,-20.000000,467.142450
8.493151,-20.000000,467.318591
8.675799,-20.000000,467.495938
8.858447,-20.000000,467.674492
9.041096,-20.000000,467.854251
9.223744,-20.000000,468.035217
9.406393,-20.000000,468.217389
9.589041,-20.000000,468.400768
9.771689,-20.000000,468.585352
9.954338,-20.000000,468.771142
10.136986,-20.000000,468.958139
10.319635,-20.000000,469.146340
10.502283,-20.000000,469.335748
10.684932,-20.000000,469.526360
10.867580,-20.000000,469.718177
11.050228,-20.000000,469.911199
11.232877,-20.000000,470.105425
11.415525,-20.000000,470.300854
11.598174,-20.000000,470.497488
11.780822,-20.000000,470.695324
11.963470,-20.000000,470.894364
12.146119,-20.000000,471.094606
12.328767,-20.000000,471.296050
12.511416,-20.000000,471.498696
12.694064,-20.000000,471.702543
12.876712,-20.000000,471.907592
13.059361,-20.000000,472.113841
13.242009,-20.000000,472.321291
13.424658,-20.000000,472.529941
13.607306,-20.000000,472.739792
13.789954,-20.000000,472.950842
13.972603,-20.000000,473.163091
14.155251,-20.000000,473.376540
14.337900,-20.000000,473.591189
14.520548,-20.000000,473.807036
14.703196,-20.000000,474.024082
14.885845,-20.000000,474.242327
15.068493,-20.000000,474.461771
15.251142,-20.000000,474.682413
15.433790,-20.000000,474.904254
15.616438,-20.000000,475.127294
15.799087,-20.000000,475.351532
15.981735,-20.000000,475.576969
16.164384,-20.000000,475.803604
16.347032,-20.000000,476.031439
16.529680,-20.000000,476.260471
16.712329,-20.000000,476.490703
16.894977,-20.000000,476.722134
17.077626,-20.000000,476.954763
17.260274,-20.000000,477.188592
17.442922,-20.000000,477.423619
17.625571,-20.000000,477.659846
17.808219,-20.000000,477.897272
17.990868,-20.000000,478.135898
18.173516,-20.000000,478.375723
18.356164,-20.000000,478.616748
18.538813,-20.000000,478.858972
18.721461,-20.000000,479.102396
18.904110,-20.000000,479.347020
19.086758,-20.000000,479.592844
19.269406,-20.000000,479.839868
19.452055,-20.000000,480.088092
19.634703,-20.000000,480.337516
19.817352,-20.000000,480.588140
20.000000,-20.000000,480.839965
-20.000000,-19.817352,454.269553
-19.817352,-19.817352,454.259188
-19.634703,-19.817352,454.250024
-19.452055,-19.817352,454.242061
-19.269406,-19.817352,454.235299
-19.086758,-19.817352,454.229738
-18.904110,-19.817352,454.225378
-18.721461,-19.817352,454.222218
-18.538813,-19.817352,454.220260
-18.356164,-19.817352,454.219503
-18.173516,-19.817352,454.219947
-17.990868,-19.817352,454.221591
-17.808219,-19.817352,454.224437
-17.625571,-19.817352,454.228484
-17.442922,-19.817352,454.233731
-17.260274,-19.817352,454.240180
-17.077626,-19.817352,454.247829
-16.894977,-19.817352,454.256680
-16.712329,-19.817352,454.266732
-16.529680,-19.817352,454.277984
-16.347032,-19.817352,454.290438
-16.164384,-19.817352,454.304092
-15.981735,-19.817352,454.318947
-15.799087,-19.817352,454.335004
-15.616438,-19.817352,454.352261
-15.433790,-19.817352,454.370720
-15.251142,-19.817352,454.390379
-15.068493,-19.817352,454.411239
-14.885845,-19.817352,454.433301
-14.703196,-19.817352,454.456563
-14.520548,-19.817352,454.481026
-14.337900,-19.817352,454.506690
-14.155251,-19.817352,454.533556
-13.972603,-19.817352,454.561622
-13.789954,-19.817352,454.590889
-13.607306,-19.817352,454.621357
-13.424658,-19.817352,454.653026
-13.242009,-19.817352,454.685896
-13.059361,-19.817352,454.719967
-12.876712,-19.817352,454.755239
-12.694064,-19.817352,454.791712
-12.511416,-19.817352,454.829386
-12.328767,-19.817352,454.868261
-12.146119,-19.817352,454.908337
-11.963470,-19.817352,454.949614
-11.780822,-19.817352,454.992092
-11.598174,-19.817352,455.035771
-11.415525,-19.817352,455.080651
-11.232877,-19.817352,455.126732
-11.050228,-19.817352,455.174013
-10.867580,-19.817352,455.222496
-10.684932,-19.817352,455.272180
-10.502283,-19.817352,455.323065
-10.319635,-19.817352,455.375150
-10.136986,-19.817352,455.428437
-9.954338,-19.817352,455.482925
-9.771689,-19.817352,455.538613
-9.589041,-19.817352,455.595503
-9.406393,-19.817352,455.653593
-9.223744,-19.817352,455.712885
-9.041096,-19.817352,455.773377
-8.858447,-19.817352,455.835071
-8.675799,-19.817352,455.897965
-8.493151,-19.817352,455.962061
-8.310502,-19.817352,456.027357
-8.127854,-19.817352,456.093855
-7.945205,-19.817352,456.161553
-7.762557,-19.817352,456.230452
-7.579909,-19.817352,456.300553
-7.397260,-19.817352,456.371854
-7.214612,-19.817352,456.444356
-7.031963,-19.817352,456.518059
-6.849315,-19.817352,456.592963
-6.666667,-19.817352,456.669068
-6.484018,-19.817352,456.746374
-6.301370,-19.817352,456.824882
-6.118721,-19.817352,456.904589
-5.936073,-19.817352,456.985498
-5.753425,-19.817352,457.067608
-5.570776,-19.817352,457.150919
-5.388128,-19.817352,457.235431
-5.205479,-19.817352,457.321143
-5.022831,-19.817352,457.408057
-4.840183,-19.817352,457.496171
-4.657534,-19.817352,457.585486
-4.474886,-19.817352,457.676003
-4.292237,-19.817352,457.767719
-4.109589,-19.817352,457.860637
-3.926941,-19.817352,457.954756
-3.744292,-19.817352,458.050075
-3.561644,-19.817352,458.146595
-3.378995,-19.817352,458.244316
-3.196347,-19.817352,458.343238
-3.013699,-19.817352,458.443360
-2.831050,-19.817352,458.544682
-2.648402,-19.817352,458.647206
-2.465753,-19.817352,458.750929
-2.283105,-19.817352,458.855854
-2.100457,-19.817352,458.961978
-1.917808,-19.817352,459.069303
-1.735160,-19.817352,459.177828
-1.552511,-19.817352,459.287554
-1.369863,-19.817352,459.398479
-1.187215,-19.817352,459.510604
-1.004566,-19.817352,459.623930
-0.821918,-19.817352,459.738455
-0.639269,-19.817352,459.854180
-0.456621,-19.817352,459.971104
-0.273973,-19.817352,460.089228
-0.091324,-19.817352,460.208551
0.091324,-19.817352,460.329074
0.273973,-19.817352,460.450796
0.456621,-19.817352,460.573717
0.639269,-19.817352,460.697837
0.821918,-19.817352,460.823155
1.004566,-19.817352,460.949673
1.187215,-19.817352,461.077389
1.369863,-19.817352,461.206303
1.552511,-19.817352,461.336416
1.735160,-19.817352,461.467728
1.917808,-19.817352,461.600238
2.100457,-19.817352,461.733945
2.283105,-19.817352,461.868852
2.465753,-19.817352,462.004956
2.648402,-19.817352,462.142259
2.831050,-19.817352,462.280759
3.013699,-19.817352,462.420458
3.196347,-19.817352,462.561356
3.378995,-19.817352,462.703451
3.561644,-19.817352,462.846745
3.744292,-19.817352,462.991238
3.926941,-19.817352,463.136930
4.109589,-19.817352,463.283820
4.292237,-19.817352,463.431910
4.474886,-19.817352,463.581199
4.657534,-19.817352,463.731688
4.840183,-19.817352,463.883377
5.022831,-19.817352,464.036266
5.205479,-19.817352,464.190356
5.388128,-19.817352,464.345647
5.570776,-19.817352,464.502139
5.753425,-19.817352,464.659832
5.936073,-19.817352,464.818728
6.118721,-19.817352,464.978827
6.301370,-19.817352,465.140129
6.484018,-19.817352,465.302633
6.666667,-19.817352,465.466342
6.849315,-19.817352,465.631255
7.031963,-19.817352,465.797373
7.214612,-19.817352,465.964695
7.397260,-19.817352,466.133223
7.579909,-19.817352,466.302956
7.762557,-19.817352,466.473896
7.945205,-19.817352,466.646042
8.127854,-19.817352,466.819394
8.310502,-19.817352,466.993953
8.493151,-19.817352,467.169719
8.675799,-19.817352,467.346692
8.858447,-19.817352,467.524872
9.041096,-19.817352,467.704260
9.223744,-19.817352,467.884854
9.406393,-19.817352,468.066656
9.589041,-19.817352,468.249665
9.771689,-19.817352,468.433881
9.954338,-19.817352,468.619304
10.136986,-19.817352,468.805933
10.319635,-19.817352,468.993769
10.502283,-19.817352,469.182811
10.684932,-19.817352,469.373059
10.867580,-19.817352,469.564512
11.050228,-19.817352,469.757171
11.232877,-19.817352,469.951034
11.415525,-19.817352,470.146102
11.598174,-19.817352,470.342374
11.780822,-19.817352,470.539849
11.963470,-19.817352,470.738528
12.146119,-19.817352,470.938410
12.328767,-19.817352,471.139493
12.511416,-19.817352,471.341779
12.694064,-19.817352,471.545266
12.876712,-19.817352,471.749955
13.059361,-19.817352,471.955844
13.242009,-19.817352,472.162934
13.424658,-19.817352,472.371224
13.607306,-19.817352,472.580714
13.789954,-19.817352,472.791403
13.972603,-19.817352,473.003292
14.155251,-19.817352,473.216380
14.337900,-19.817352,473.430667
14.520548,-19.817352,473.646152
14.703196,-19.817352,473.862836
14.885845,-19.817352,474.080718
15.068493,-19.817352,474.299799
15.251142,-19.817352,474.520078
15.433790,-19.817352,474.741555
15.616438,-19.817352,474.964231
15.799087,-19.817352,475.188104
15.981735,-19.817352,475.413176
16.164384,-19.817352,475.639446
16.347032,-19.817352,475.866915
16.529680,-19.817352,476.095581
16.712329,-19.817352,476.325446
16.894977,-19.817352,476.556510
17.077626,-19.817352,476.788772
17.260274,-19.817352,477.022233
17.442922,-19.817352,477.256892
17.625571,-19.817352,477.492751
17.808219,-19.817352,477.729808
17.990868,-19.817352,477.968065
18.173516,-19.817352,478.207521
18.356164,-19.817352,478.448176
18.538813,-19.817352,478.690030
18.721461,-19.817352,478.933084
18.904110,-19.817352,479.177338
19.086758,-19.817352,479.422792
19.269406,-19.817352,479.669445
19.452055,-19.817352,479.917299
19.634703,-19.817352,480.166352
19.817352,-19.817352,480.416606
20.000000,-19.817352,480.668059
-20.000000,-19.634703,454.179400
-19.817352,-19.634703,454.168666
-19.634703,-19.634703,454.159134
-19.452055,-19.634703,454.150802
-19.269406,-19.634703,454.143672
-19.086758,-19.634703,454.137742
-18.904110,-19.634703,454.133013
-18.721461,-19.634703,454.129485
-18.538813,-19.634703,454.127159
-18.356164,-19.634703,454.126033
-18.173516,-19.634703,454.126108
-17.990868,-19.634703,454.127384
-17.808219,-19.634703,454.129862
-17.625571,-19.634703,454.133540
-17.442922,-19.634703,454.138419
-17.260274,-19.634703,454.144499
-17.077626,-19.634703,454.151780
-16.894977,-19.634703,454.160262
-16.712329,-19.634703,454.169945
-16.529680,-19.634703,454.180829
-16.347032,-19.634703,454.192914
-16.164384,-19.634703,454.206200
-15.981735,-19.634703,454.220687
-15.799087,-19.634703,454.236375
-15.616438,-19.634703,454.253264
-15.433790,-19.634703,454.271353
-15.251142,-19.634703,454.290644
-15.068493,-19.634703,454.311136
-14.885845,-19.634703,454.332829
-14.703196,-19.634703,454.355723
-14.520548,-19.634703,454.379817
-14.337900,-19.634703,454.405113
-14.155251,-19.634703,454.431610
-13.972603,-19.634703,454.459307
-13.789954,-19.634703,454.488206
-13.607306,-19.634703,454.518306
-13.424658,-19.634703,454.549606
-13.242009,-19.634703,454.582108
-13.059361,-19.634703,454.615810
-12.876712,-19.634703,454.650714
-12.694064,-19.634703,454.686818
-12.511416,-19.634703,454.724124
-12.328767,-19.634703,454.762630
-12.146119,-19.634703,454.802338
-11.963470,-19.634703,454.843246
-11.780822,-19.634703,454.885355
-11.598174,-19.634703,454.928666
-11.415525,-19.634703,454.973177
-11.232877,-19.634703,455.018889
-11.050228,-19.634703,455.065803
-10.867580,-19.634703,455.113917
-10.684932,-19.634703,455.163232
-10.502283,-19.634703,455.213748
-10.319635,-19.634703,455.265465
-10.136986,-19.634703,455.318384
-9.954338,-19.634703,455.372503
-9.771689,-19.634703,455.427823
-9.589041,-19.634703,455.484344
-9.406393,-19.634703,455.542066
-9.223744,-19.634703,455.600989
-9.041096,-19.634703,455.661113
-8.858447,-19.634703,455.722438
-8.675799,-19.634703,455.784964
-8.493151,-19.634703,455.848691
-8.310502,-19.634703,455.913619
-8.127854,-19.634703,455.979748
-7.945205,-19.634703,456.047077
-7.762557,-19.634703,456.115608
-7.579909,-19.634703,456.185340
-7.397260,-19.634703,456.256273
-7.214612,-19.634703,456.328406
-7.031963,-19.634703,456.401741
-6.849315,-19.634703,456.476277
-6.666667,-19.634703,456.552013
-6.484018,-19.634703,456.628951
-6.301370,-19.634703,456.707089
-6.118721,-19.634703,456.786429
-5.936073,-19.634703,456.866969
-5.753425,-19.634703,456.948710
-5.570776,-19.634703,457.031652
-5.388128,-19.634703,457.115796
-5.205479,-19.634703,457.201140
-5.022831,-19.634703,457.287684
-4.840183,-19.634703,457.375430
-4.657534,-19.634703,457.464377
-4.474886,-19.634703,457.554524
-4.292237,-19.634703,457.645873
-4.109589,-19.634703,457.738422
-3.926941,-19.634703,457.832172
-3.744292,-19.634703,457.927122
-3.561644,-19.634703,458.023273
-3.378995,-19.634703,458.120625
-3.196347,-19.634703,458.219178
-3.013699,-19.634703,458.318931
-2.831050,-19.634703,458.419885
-2.648402,-19.634703,458.522039
-2.465753,-19.634703,458.625393
-2.283105,-19.634703,458.729948
-2.100457,-19.634703,458.835704
-1.917808,-19.634703,458.942659
-1.735160,-19.634703,459.050814
-1.552511,-19.634703,459.160170
-1.369863,-19.634703,459.270725
-1.187215,-19.634703,459.382481
-1.004566,-19.634703,459.495436
-0.821918,-19.634703,459.609590
-0.639269,-19.634703,459.724945
-0.456621,-19.634703,459.841498
-0.273973,-19.634703,459.959251
-0.091324,-19.634703,460.078203
0.091324,-19.634703,460.198354
0.273973,-19.634703,460.319703
0.456621,-19.634703,460.442252
0.639269,-19.634703,460.565999
0.821918,-19.634703,460.690944
1.004566,-19.634703,460.817088
1.187215,-19.634703,460.944430
1.369863,-19.634703,461.072970
1.552511,-19.634703,461.202709
1.735160,-19.634703,461.333645
1.917808,-19.634703,461.465779
2.100457,-19.634703,461.599111
2.283105,-19.634703,461.733640
2.465753,-19.634703,461.869367
2.648402,-19.634703,462.006292
2.831050,-19.634703,462.144415
3.013699,-19.634703,462.283735
3.196347,-19.634703,462.424253
3.378995,-19.634703,462.565969
3.561644,-19.634703,462.708883
3.744292,-19.634703,462.852996
3.926941,-19.634703,462.998307
4.109589,-19.634703,463.144816
4.292237,-19.634703,463.292524
4.474886,-19.634703,463.441432
4.657534,-19.634703,463.591539
4.840183,-19.634703,463.742845
5.022831,-19.634703,463.895352
5.205479,-19.634703,464.049060
5.388128,-19.634703,464.203968
5.570776,-19.634703,464.360078
5.753425,-19.634703,464.517390
5.936073,-19.634703,464.675904
6.118721,-19.634703,464.835621
6.301370,-19.634703,464.996541
6.484018,-19.634703,465.158665
6.666667,-19.634703,465.321994
6.849315,-19.634703,465.486527
7.031963,-19.634703,465.652265
7.214612,-19.634703,465.819209
7.397260,-19.634703,465.987359
7.579909,-19.634703,466.156716
7.762557,-19.634703,466.327279
7.945205,-19.634703,466.499050
8.127854,-19.634703,466.672028
8.310502,-19.634703,466.846214
8.493151,-19.634703,467.021608
8.675799,-19.634703,467.198210
8.858447,-19.634703,467.376020
9.041096,-19.634703,467.555039
9.223744,-19.634703,467.735266
9.406393,-19.634703,467.916701
9.589041,-19.634703,468.099345
9.771689,-19.634703,468.283196
9.954338,-19.634703,468.468255
10.136986,-19.634703,468.654522
10.319635,-19.634703,468.841997
10.502283,-19.634703,469.030678
10.684932,-19.634703,469.220566
10.867580,-19.634703,469.411660
11.050228,-19.634703,469.603961
11.232877,-19.634703,469.797467
11.415525,-19.634703,469.992177
11.598174,-19.634703,470.188093
11.780822,-19.634703,470.385212
11.963470,-19.634703,470.583535
12.146119,-19.634703,470.783061
12.328767,-19.634703,470.983790
12.511416,-19.634703,471.185721
12.694064,-19.634703,471.388854
12.876712,-19.634703,471.593187
13.059361,-19.634703,471.798722
13.242009,-19.634703,472.005457
13.424658,-19.634703,472.213392
13.607306,-19.634703,472.422527
13.789954,-19.634703,472.632861
13.972603,-19.634703,472.844394
14.155251,-19.634703,473.057125
14.337900,-19.634703,473.271056
14.520548,-19.634703,473.486184
14.703196,-19.634703,473.702511
14.885845,-19.634703,473.920036
15.068493,-19.634703,474.138758
15.251142,-19.634703,474.358679
15.433790,-19.634703,474.579797
15.616438,-19.634703,474.802113
15.799087,-19.634703,475.025626
15.981735,-19.634703,475.250337
16.164384,-19.634703,475.476246
16.347032,-19.634703,475.703353
16.529680,-19.634703,475.931658
16.712329,-19.634703,476.161160
16.894977,-19.634703,476.391861
17.077626,-19.634703,476.623760
17.260274,-19.634703,476.856857
17.442922,-19.634703,477.091153
17.625571,-19.634703,477.326647
17.808219,-19.634703,477.563339
17.990868,-19.634703,477.801231
18.173516,-19.634703,478.040321
18.356164,-19.634703,478.280611
18.538813,-19.634703,478.522099
18.721461,-19.634703,478.764787
18.904110,-19.634703,479.008675
19.086758,-19.634703,479.253762
19.269406,-19.634703,479.500048
19.452055,-19.634703,479.747535
19.634703,-19.634703,479.996221
19.817352,-19.634703,480.246107
20.000000,-19.634703,480.497193
-20.000000,-19.452055,454.089540
-19.817352,-19.452055,454.078442
-19.634703,-19.452055,454.068544
-19.452055,-19.452055,454.059847
-19.269406,-19.452055,454.052351
-19.086758,-19.452055,454.046057
-18.904110,-19.452055,454.040963
-18.721461,-19.452055,454.037070
-18.538813,-19.452055,454.034378
-18.356164,-19.452055,454.032887
-18.173516,-19.452055,454.032597
-17.990868,-19.452055,454.033508
-17.808219,-19.452055,454.035621
-17.625571,-19.452055,454.038934
-17.442922,-19.452055,454.043448
-17.260274,-19.452055,454.049163
-17.077626,-19.452055,454.056079
-16.894977,-19.452055,454.064195
-16.712329,-19.452055,454.073513
-16.529680,-19.452055,454.084032
-16.347032,-19.452055,454.095752
-16.164384,-19.452055,454.108673
-15.981735,-19.452055,454.122795
-15.799087,-19.452055,454.138118
-15.616438,-19.452055,454.154641
-15.433790,-19.452055,454.172366
-15.251142,-19.452055,454.191292
-15.068493,-19.452055,454.211419
-14.885845,-19.452055,454.232746
-14.703196,-19.452055,454.255275
-14.520548,-19.452055,454.279004
-14.337900,-19.452055,454.303935
-14.155251,-19.452055,454.330067
-13.972603,-19.452055,454.357399
-13.789954,-19.452055,454.385933
-13.607306,-19.452055,454.415667
-13.424658,-19.452055,454.446603
-13.242009,-19.452055,454.478739
-13.059361,-19.452055,454.512077
-12.876712,-19.452055,454.546615
-12.694064,-19.452055,454.582354
-12.511416,-19.452055,454.619295
-12.328767,-19.452055,454.657436
-12.146119,-19.452055,454.696778
