X_mm,Y_mm,Z_um
-20.000000,-20.000000,451.113404
-19.817352,-20.000000,454.688792
-19.634703,-20.000000,457.955719
-19.452055,-20.000000,454.306139
-19.269406,-20.000000,450.759082
-19.086758,-20.000000,450.763182
-18.904110,-20.000000,454.566849
-18.721461,-20.000000,449.174039
-18.538813,-20.000000,453.387481
-18.356164,-20.000000,451.195692
-18.173516,-20.000000,447.504374
-17.990868,-20.000000,454.955834
-17.808219,-20.000000,463.578359
-17.625571,-20.000000,450.130352
-17.442922,-20.000000,453.435945
-17.260274,-20.000000,450.446437
-17.077626,-20.000000,447.088647
-16.894977,-20.000000,453.930986
-16.712329,-20.000000,451.699284
-16.529680,-20.000000,450.548919
-16.347032,-20.000000,446.902855
-16.164384,-20.000000,447.800470
-15.981735,-20.000000,451.538896
-15.799087,-20.000000,442.899868
-15.616438,-20.000000,455.373437
-15.433790,-20.000000,467.241889
-15.251142,-20.000000,443.395264
-15.068493,-20.000000,452.045773
-14.885845,-20.000000,456.517709
-14.703196,-20.000000,452.750772
-14.520548,-20.000000,456.749366
-14.337900,-20.000000,454.865333
-14.155251,-20.000000,450.846434
-13.972603,-20.000000,455.527541
-13.789954,-20.000000,459.289615
-13.607306,-20.000000,453.753778
-13.424658,-20.000000,454.641151
-13.242009,-20.000000,448.643642
-13.059361,-20.000000,450.115411
-12.876712,-20.000000,457.489850
-12.694064,-20.000000,457.967634
-12.511416,-20.000000,447.473298
-12.328767,-20.000000,451.328124
-12.146119,-20.000000,455.098583
-11.963470,-20.000000,456.760936
-11.780822,-20.000000,453.465721
-11.598174,-20.000000,458.940970
-11.415525,-20.000000,458.551156
-11.232877,-20.000000,455.009179
-11.050228,-20.000000,456.308209
-10.867580,-20.000000,461.681918
-10.684932,-20.000000,457.255104
-10.502283,-20.000000,449.499499
-10.319635,-20.000000,455.642643
-10.136986,-20.000000,455.095355
-9.954338,-20.000000,451.968642
-9.771689,-20.000000,452.048635
-9.589041,-20.000000,447.978424
-9.406393,-20.000000,456.645008
-9.223744,-20.000000,463.169745
-9.041096,-20.000000,446.719416
-8.858447,-20.000000,457.207385
-8.675799,-20.000000,451.050631
-8.493151,-20.000000,446.183854
-8.310502,-20.000000,458.073508
-8.127854,-20.000000,455.637017
-7.945205,-20.000000,453.343452
-7.762557,-20.000000,447.586001
-7.579909,-20.000000,459.265091
-7.397260,-20.000000,451.112678
-7.214612,-20.000000,452.127889
-7.031963,-20.000000,448.867721
-6.849315,-20.000000,454.116401
-6.666667,-20.000000,455.591011
-6.484018,-20.000000,453.626801
-6.301370,-20.000000,455.230172
-6.118721,-20.000000,456.220246
-5.936073,-20.000000,454.443552
-5.753425,-20.000000,457.800620
-5.570776,-20.000000,459.646538
-5.388128,-20.000000,451.603063
-5.205479,-20.000000,457.754101
-5.022831,-20.000000,452.748843
-4.840183,-20.000000,459.149785
-4.657534,-20.000000,461.040224
-4.474886,-20.000000,449.018591
-4.292237,-20.000000,451.958205
-4.109589,-20.000000,456.976334
-3.926941,-20.000000,453.131795
-3.744292,-20.000000,450.073174
-3.561644,-20.000000,454.067194
-3.378995,-20.000000,455.422358
-3.196347,-20.000000,456.717512
-3.013699,-20.000000,458.518927
-2.831050,-20.000000,447.645878
-2.648402,-20.000000,454.091503
-2.465753,-20.000000,453.247885
-2.283105,-20.000000,461.850710
-2.100457,-20.000000,458.763626
-1.917808,-20.000000,458.706467
-1.735160,-20.000000,454.071161
-1.552511,-20.000000,454.940662
-1.369863,-20.000000,462.172292
-1.187215,-20.000000,458.046612
-1.004566,-20.000000,454.652677
-0.821918,-20.000000,455.808661
-0.639269,-20.000000,459.796219
-0.456621,-20.000000,454.128524
-0.273973,-20.000000,452.959418
-0.091324,-20.000000,458.385716
0.091324,-20.000000,459.733564
0.273973,-20.000000,461.905263
0.456621,-20.000000,458.707696
0.639269,-20.000000,448.784854
0.821918,-20.000000,449.276632
1.004566,-20.000000,462.153289
1.187215,-20.000000,456.952486
1.369863,-20.000000,463.453491
1.552511,-20.000000,460.753412
1.735160,-20.000000,461.830892
1.917808,-20.000000,450.962599
2.100457,-20.000000,464.409196
2.283105,-20.000000,468.126945
